0|1,L|1,0|1,0|1,0|1,~,~,~,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0|0,1|0
1,1,0|1,0|1,1|0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0|0,1|0
S,0,0|1,0|1,0,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0|0,1|0
0,0,0|1,0|1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0|0,1|0
0,0,0|1,0|1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0|0,1|0
1,~,~|1,~|1,~,~,0,0,0,0,0,0,1,1,0,0,0|0,0|0,1|0,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,1|0
1,1,1|1,1|1,1,1,0,0,0,0,0,0,0,0,0,0,0|0,1|0,1|0,1|1,1|1,1|0,1|1,1|1,1|1,1|1,1|1,1|0
1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,1,1,1,0,0,0,0,1|0,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1
1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,L|1,1,1,1,0,0,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1
1,0|1,0|1,1|1,0|1,0|1,0|1,0|1,0|1,0|1,L|1,0|1,0|1,1,1,1,1,1,1,1,1,1,1,1,1,1|0,1|0,1|0
1,0|1,0|1,d|1,0|1,0|1,0|1,1,~|1,~|1,L|1,~|1,~|1,1,1,1,0,0,0,0,0,0,0,0,0,0|0,0|0,0|0
1,0|1,0|1,d|1,0|1,0|1,1,1,1,1,L|1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0|0,0|0,0|0
1,0|1,1,1,1,1,1,0|1,0|1,0|1,L|1,0|1,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0|0,0|0
1,0|1,s|1,1,0|1,0|1,0|1,0|1,0|1,0|1,L|1,0|1,0,0,0,~,~,~,0,0,0,0,0,0,0,0|0,0|0,0|0
1,0|1,0|1,1,s|1,0|1,1|1,1|0,1|0,1|1,0|1,0|1,0,0,0,1,1|0,1|1,~,~,~,0,0,0,0,0|0,0|0,0|0
1,0|1,0|1,1,s|1,0|1,0|1,0|0,0|0,0|1,0|1,0|1,0,0,0,1,1|0,0|1,1|0,1|1,1|0,1,0,0,0,0|0,0|0,0|0
1,s|1,s|1,1,s|1,0|1,0|1,0|0,0|0,0|1,0|1,0|1,s,0,0,0|1,0|1,0|1,1|0,0|1,1|0,1|0,0,1,0|1,1|0,0|1,1|0
1,1,1,1,s|1,0|1,0|1,1|0,1|0,0|1,0|1,1|1,1,1,0|0,0|1,0|1,0|1,1|1,0|1,1|1,0|1,0|0,1,1|1,1|0,1|1,1|0
0|1,0|1,s|1,s|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|0,0,0|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|0,1,1|1,0|1,1|1,1|0
0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|0,0,0|0,~|1,~|1,~|1,~|1,~|1,~|1,0|1,0|0,0,1|1,1|1,1|1,0|0
1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|1,0|0,0,0,1|1,1|0,1|1,1|0,1|1,1|1,0|1,0|0,0,0|1,1|0,0|1,0|0
1|0,1|0,1|0,0|1,0|1,1,~|1,~|1,~|1,~|1,~|1,~|1,1,0,0,0|1,0,0|1,0|0,0|1,0|0,0|1,0|0,0,0|1,0|0,0|1,0|0
0|0,0|0,0|0,0|1,0|1,1,1,1,1,1,1,1,1,0,0,0|1,0,0|1,0|0,0|1,0|0,0|1,0|0,0,0|1,0|0,0|1,0|0
0,0,0,0|1,0|1,s,s,0,0,s,s,0,s,0,0,0|1,0,0|1,0|0,0|1,0|0,0|1,0|0,0|0,1|1,0|1,1|1,1|0
0,0,0,1|0,1|0,0,0,0,0,0,0,0,0,0,0,0|1,0|0,0|1,0|0,0|1,1,0|1,1,0|1,1|1,0|1,1|0,1|0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|1,1|0,0|1,1,0|1,1,0|1,1,0|1,1,0|1,1|0,1|0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0|1,1,0|1,1,0|1,1,0|1,1,0|1,1,0|1,1|0,1|0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1|0,1|0,1|0
